Year,Month,Region_Name,Region_Code,Building_Use,Sell_Price,Sell_BA,Sell_PPA,Sell_PPP,Sell_Count,JS_Price,JS_BA,JS_PPA,JS_PPP,JS_Count,CR,CR_PPA,CR_PPP
2011,2,강남구,11680,연립다세대,29695.88,49.87,581.56,175.92,85,17287.44,60.76,297.1,89.87,215,58.21,51.09,51.09
2011,2,강남구,11680,오피스텔,23376.37,39.17,602.6,182.29,91,40812.5,85.64,434.75,131.51,16,174.59,72.15,72.14
2011,2,강동구,11740,단독다가구,77371.24,247.83,314.07,95.01,21,7687.61,62.41,140.56,42.52,418,9.94,44.75,44.75
2011,2,강동구,11740,아파트,42579.55,75.08,582.75,176.28,368,18665.59,74.72,245.06,74.13,884,43.84,42.05,42.05
2011,2,강동구,11740,연립다세대,22361.57,54.99,419.18,126.8,121,12541.3,56.55,225.99,68.36,184,56.08,53.91,53.91
2011,2,강동구,11740,오피스텔,14952.94,33.58,442.09,133.73,34,9396.0,32.35,299.76,90.68,25,62.84,67.81,67.81
2011,2,강북구,11305,단독다가구,36709.35,141.66,295.3,89.33,31,5847.68,51.97,122.9,37.18,331,15.93,41.62,41.62
2011,2,강북구,11305,아파트,31183.56,71.75,438.91,132.77,132,15011.94,74.08,203.2,61.47,153,48.14,46.3,46.3
2011,2,강북구,11305,연립다세대,16495.06,52.1,322.18,97.46,176,7948.93,49.93,162.06,49.02,233,48.19,50.3,50.3
2011,2,강북구,11305,오피스텔,11673.5,34.67,339.1,102.58,22,7500.0,26.21,323.38,97.82,7,64.25,95.36,95.36
2011,2,강서구,11500,단독다가구,63356.67,225.98,318.31,96.29,27,6330.8,70.32,108.5,32.82,276,9.99,34.09,34.08
2011,2,강서구,11500,아파트,33949.21,70.44,485.24,146.78,279,17638.48,70.65,252.93,76.51,655,51.96,52.12,52.13
2011,2,강서구,11500,연립다세대,17185.84,51.15,344.14,104.1,317,9405.24,52.11,182.65,55.25,353,54.73,53.07,53.07
2011,2,강서구,11500,오피스텔,12307.96,33.51,389.17,117.73,69,9158.33,35.49,267.43,80.9,36,74.41,68.72,68.72
2011,2,관악구,11620,단독다가구,68218.84,205.55,353.9,107.06,43,6873.19,44.65,191.09,57.8,526,10.08,54.0,53.99
