학교명,학교급구분,소재지도로명주소,위도,경도,Region_Name
정의여자중학교,중학교,서울특별시 도봉구 노해로49길 69 (쌍문동),37.65340386,127.0320505,도봉구
화계중학교,중학교,서울특별시 강북구 화계사길 63 (수유동),37.63246692,127.0102258,강북구
성사중학교,중학교,서울특별시 마포구 모래내로9길 16 . 성사중학교 (성산동),37.56814614,126.9134052,마포구
마장중학교,중학교,서울특별시 성동구 마장로35나길 31 . 마장중학교 (마장동),37.56845142,127.0418024,성동구
대왕중학교,중학교,서울특별시 강남구 광평로20길 7 (수서동. 대왕중학교),37.48313817,127.0874016,강남구
동구여자중학교,중학교,서울특별시 성북구 성북로8길 71 (성북동.동구여자중학교),37.5941935,127.0076654,성북구
광희중학교,중학교,서울특별시 성동구 독서당로62길 46 . 광희중학교 (응봉동),37.55127984,127.0341932,성동구
오산중학교,중학교,서울특별시 용산구 보광로7길 17 (보광동.오산중학교),37.52400986,126.9995381,용산구
송곡여자중학교,중학교,서울특별시 중랑구 양원역로 67 (망우동. 송곡여자중고등학교),37.60602827,127.1049741,중랑구
한영중학교,중학교,서울특별시 강동구 동남로 832 (상일동.한영중학교),37.5490782,127.157414,강동구
연천중학교,중학교,서울특별시 은평구 연서로41길 30 (불광동),37.62697444,126.9259984,은평구
마곡하늬중학교,중학교,서울특별시 강서구 마곡서1로 16 (마곡동),37.55812766,126.8210721,강서구
신암중학교,중학교,서울특별시 강동구 고덕로 65 . 신암중학교 (암사동),37.55561509,127.1330777,강동구
마포중학교,중학교,서울특별시 강서구 화곡로 403 (등촌동),37.56004392,126.8528162,강서구
증산중학교,중학교,서울특별시 은평구 증산로5길 27-30 . 증산중학교 (증산동),37.58351933,126.9041567,은평구
영동중학교,중학교,서울특별시 서초구 성촌길 14 (우면동.영동중학교),37.46573221,127.0255747,서초구
목운중학교,중학교,서울특별시 양천구 목동동로 235 (목동.목운초.중학교),37.52690224,126.8726221,양천구
구산중학교,중학교,서울특별시 은평구 갈현로15길 20-23 (구산동.구산중학교),37.60940066,126.9089636,은평구
미성중학교,중학교,서울특별시 관악구 문성로16길 40 (신림동),37.47522591,126.9123595,관악구
중앙여자중학교,중학교,서울특별시 서대문구 북아현로11가길 7 (북아현동. 중앙여자중학교),37.56276849,126.9527219,서대문구
대원국제중학교,중학교,서울특별시 광진구 용마산로22길 26 . 대원국제중학교 (중곡동),37.56385379,127.0894181,광진구
금호여자중학교,중학교,서울특별시 중구 청구로 6 . 금호여자중학교 본관동(주1) (신당동),37.55827803,127.0201931,중구
신양중학교,중학교,서울특별시 광진구 자양강변길 73 . 신양중학교 (자양동),37.53326061,127.0634311,광진구
성내중학교,중학교,서울특별시 강동구 성안로7길 36 (성내동.성내중학교),37.5287623,127.1295963,강동구
