Legion_Name,Name,Kind,Distance,Class,latitude,longitude,adress,New_adress
광진구,장로회신학대학교,본교,,College,37.550118,127.1038593,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,
종로구,적십자간호대학,본교,,College,37.5673103,126.9663008,서울 종로구 경교장길8,
동작구,중앙대학교 서울캠퍼스,본교,,College,37.5045563,126.9569379,서울 동작구 흑석로 84,
동작구,총신대학교,본교,,College,37.4907607,126.9671264,서울 동작구 사당동 산31-3,
서대문구,추계예술대학교,본교,,College,37.5622814,126.9546074,서울 서대문구 북아현동 190-1 추계예술대학교,
종로구,한국방송통신대학교,본교,,College,37.5790986,127.0027894,서울 종로구 동숭동 한국방송통신대학교,
노원구,한국성서대학교,본교,,College,37.6486885,127.0642073,서울 노원구 상계7동 한국성서대학교,
성북구,한국예술종합학교,본교,,College,37.6082694,127.0614872,서울 성북구 석관동 ,
동대문구,한국외국어대학교,본교,,College,37.5974261,127.058706,서울 동대문구 이문로 107,
송파구,한국체육대학교,본교,,College,37.5196266,127.1309837,서울 송파구 오륜동 한국체육대학교,
강서구,한국폴리텍 I 대학 서울강서캠퍼스,본교,,College,37.5504011,126.843553,서울 강서구 화곡동 산60-1,
용산구,한국폴리텍Ⅰ대학 서울정수캠퍼스,본교,,College,37.5291378,126.9965384,서울 용산구 보광로 73(보광동 238),
성북구,한성대학교,본교,,College,37.5828483,127.0105811,서울 성북구 삼선동3가 389 한성대학교,
성동구,한양대학교,본교,,College,37.5577414,127.0473936,서울특별시 성동구 왕십리로 222 ,
성동구,한양여자대학교,본교,,College,37.5577414,127.0473936,서울 성동구 행당동 살곶이길 200,
구로구,한영신학대학교,본교,,College,37.4965411,126.8512616,서울 구로구 경인로 290-42  한영신학대학교,
마포구,홍익대학교,본교,,College,37.5484657,126.9252536,서울특별시 마포구 와우산로 94(상수동),
서초구,가톨릭대학교,제2캠퍼스,,College,37.5000792,127.005247,서울 서초구 반포동 505,
종로구,가톨릭대학교,제3캠퍼스,,College,37.5860335,127.0042568,서울 종로구 창경궁로 296-12(혜화동) ,
서대문구,감리교신학대학교,본교,,College,37.5676455,126.96161,서울 서대문구 냉천동 감리교신학대학,
광진구,건국대학교,본교,,College,37.5432534,127.07341,서울 광진구 화양동,
서대문구,경기대학교,제2캠퍼스,,College,37.5653276,126.9624031,서울 서대문구 경기대로9길 24 경기대학교,
동대문구,경희대학교,본교,,College,37.5939495,127.0541558,서울 동대문구 회기동 경희대학교,
성북구,고려대학교,본교,,College,37.5882275,127.0274641,서울 성북구 안암동 고려대학교,
노원구,광운대학교,본교,,College,37.6197029,127.0596708,서울특별시 노원구 월계동 447-1,
성북구,국민대학교,본교,,College,37.6108694,126.9972889,서울 성북구 정릉3동 국민대학교,
강남구,국제예술대학,본교,,College,37.5169054,127.0310041,서울 강남구 논현동 79,
강서구,그리스도대학교,본교,,College,37.5483449,126.8547974,서울 강서구 화곡6동 그리스도대학교,
도봉구,덕성여자대학교,본교,,College,37.6512976,127.0165728,서울특별시 도봉구 삼양로 144길 33,
중구,동국대학교,본교,,College,37.5585143,126.9970195,서울 중구 필동3가 동국대학교,
성북구,동덕여자대학교,본교,,College,37.6077595,127.0422513,서울 성북구 하월곡2동 동덕여자대학교,
구로구,동양미래대학교,본교,,College,37.5000326,126.8680013,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),
서대문구,디지털서울문화예술대학교,본교,,College,37.5854462,126.9438636,서울시 서대문구 통일로 37길 60 (홍제동 318-18),
서대문구,명지대학교 인문캠퍼스,제2캠퍼스,,College,37.5802263,126.9231205,서울 서대문구 남가좌동 50-3,
서대문구,명지전문대학,본교,,College,37.5846465,126.9251874,서울 서대문구 가좌로 134 명지전문대학 ,
종로구,배화여자대학교,본교,,College,37.5779167,126.9676798,서울 종로구 필운대로 1길 34 배화여자대학교,
서초구,백석예술대학교,본교,,College,37.4806731,126.996636,서울 서초구 방배로9길 23 백석예술대학교,
동대문구,사이버한국외국어대학교,본교,,College,37.5972565,127.0581605,서울 동대문구 이문동 한국외국어대학교,
노원구,삼육대학교,본교,,College,37.6429012,127.1060303,서울시 노원구 화랑로 815(공릉2동 26-21),
동대문구,삼육보건대학교,본교,,College,37.5862154,127.0645629,서울 동대문구 휘경2동,
종로구,상명대학교,본교,,College,37.602638,126.955252,서울 종로구 홍지동 상명대학교,
마포구,서강대학교,본교,,College,37.551704,126.93735,서울 마포구 신수동 서강대학교,
성북구,서경대학교,본교,,College,37.6148855,127.0133508,서울 성북구 정릉4동 서경대학교,
노원구,서울과학기술대학교,본교,,College,37.6329741,127.0798802,서울 노원구 공릉로 232 (공릉동 172),
노원구,서울과학기술대학교,본교,,College,37.6316684,127.0774813,서울시 노원구 공릉로 232 서울과학기술대학교,
서초구,서울교육대학교,본교,,College,37.4901737,127.0162346,서울 서초구 서초중앙로 96(서초동 1650),
은평구,서울기독대학교,본교,,College,37.6008847,126.9122537,서울 은평구 갈현로 4길 26-2호,
관악구,서울대학교,본교,,College,37.480967,126.953148,서울 관악구 관악로 1 서울대학교,
마포구,서울디지털대학교,본교,,College,37.5429672,126.9478554,서울 마포구 도화동 560번지,
강북구,서울사이버대학교,본교,,College,37.6296664,127.027301,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,
관악구,봉천,2호선,,Subway,37.487812,126.957234,서울특별시 관악구 봉천동 979-7 봉천역(2호선),서울특별시 관악구 남부순환로 지하1721(봉천동)
중구,서울,1호선,,Subway,37.5587351,126.9738593,서울특별시 중구 남대문로5가 73-6 서울역(1호선),서울특별시 중구 세종대로 지하2(남대문로 5가)
중구,시청,1호선,,Subway,37.5666082,126.9731481,서울특별시 중구 정동 5-5 시청역(1호선),서울특별시 중구 세종대로 지하101(정동)
종로구,종각,1호선,,Subway,37.5700105,126.9821081,서울특별시 종로구 종로1가 54 종각역(1호선),서울특별시 종로구 종로 지하55(종로1가)
종로구,종로3가,1호선,,Subway,37.5704474,126.990896,서울특별시 종로구 종로3가 10-5 종로3가역(1호선),서울특별시 종로구 종로 지하129(종로3가)
종로구,종로5가,1호선,,Subway,37.571031,127.0019512,서울특별시 종로구 종로5가 82-1 종로5가역(1호선),서울특별시 종로구 종로 지하216(종로5가)
종로구,동대문,1호선,,Subway,37.5728396,127.0144679,서울특별시 종로구 창신동 492-1 동대문역(1호선),서울특별시 종로구 종로 지하302(창신동)
동대문구,신설동,1호선,,Subway,37.578486,127.0270996,서울특별시 동대문구 신설동 76-5 신설동역(1호선),서울특별시 동대문구 왕산로 지하1(신설동)
동대문구,제기동,1호선,,Subway,37.5837593,127.0372351,서울특별시 동대문구 제기동 65 제기동역(1호선),서울특별시 동대문구 왕산로 지하93(제기동)
동대문구,청량리(서울시립대입구),1호선,,Subway,37.5797474,127.0557043,서울특별시 동대문구 전농동 620-69 청량리역(1호선),서울특별시 동대문구 왕산로 지하205(전농동)
종로구,동묘앞,1호선,,Subway,37.5775993,127.0223262,서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 종로 359(숭인동)
중구,시청,2호선,,Subway,37.561398,126.9740126,서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문로 지하127(서소문동)
중구,을지로입구,2호선,,Subway,37.5666911,126.9802528,서울특별시 중구 을지로1가 100-1 을지로입구역(2호선),서울특별시 중구 을지로 지하42(을지로1가)
중구,을지로3가,2호선,,Subway,37.5662094,126.9902284,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),서울특별시 중구 을지로 지하106(을지로3가)
중구,을지로4가,2호선,,Subway,37.5665899,126.9982939,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),서울특별시 중구 을지로 지하178(을지로4가)
중구,동대문역사문화공원(DDP),2호선,,Subway,37.5662916,127.0096225,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),서울특별시 중구 을지로 지하279(을지로7가)
중구,신당,2호선,,Subway,37.5613874,126.9962601,서울특별시 중구 신당동 99 신당역(2호선),서울특별시 중구 퇴계로 지하431-1(신당동)
성동구,상왕십리,2호선,,Subway,37.5639874,127.0280247,서울특별시 성동구 하왕십리동 946-14 상왕십리역(2호선),서울특별시 성동구 왕십리로 지하374(하왕십리동)
성동구,왕십리(성동구청),2호선,,Subway,37.5596331,127.0303221,서울특별시 성동구 행당동 192 왕십리역(2호선),서울특별시 성동구 왕십리로 지하300(행당동)
성동구,한양대,2호선,,Subway,37.5608641,127.0367939,서울특별시 성동구 행당동 산17 한양대역(2호선),서울특별시 성동구 왕십리로 206(행당동)
성동구,뚝섬,2호선,,Subway,37.5463387,127.0535209,서울특별시 성동구 성수동1가 656-745 뚝섬역(2호선),서울특별시 성동구 아차산로 18(성수동1가)
성동구,성수,2호선,,Subway,37.5446813,127.0569827,서울특별시 성동구 성수동2가 300-1 성수역(2호선),서울특별시 성동구 아차산로 100(성수동2가)
광진구,건대입구,2호선,,Subway,37.5408156,127.0690315,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),서울특별시 광진구 아차산로 243(화양동)
광진구,구의(광진구청),2호선,,Subway,37.5444007,127.092844,서울특별시 광진구 구의동 245-24 구의역(2호선),서울특별시 광진구 아차산로 384-1(구의동)
광진구,강변(동서울터미널),2호선,,Subway,37.5353816,127.0945451,서울특별시 광진구 구의동 546-6 강변역(2호선),서울특별시 광진구 강변역로 53(구의동)
송파구,잠실나루,2호선,,Subway,37.5189313,127.104757,서울특별시 송파구 신천동 15 잠실나루역(2호선),서울특별시 송파구 오금로 20(신천동)
송파구,잠실(송파구청),2호선,,Subway,37.5209922,127.0991094,서울특별시 송파구 신천동 8 잠실역(2호선),서울특별시 송파구 올림픽로 지하265(신천동)
송파구,잠실새내,2호선,,Subway,37.5045774,127.0727245,서울특별시 송파구 잠실동 33 잠실새내역(2호선),서울특별시 송파구 올림픽로 지하140(잠실동)
송파구,종합운동장,2호선,,Subway,37.5166152,127.0877398,서울특별시 송파구 잠실동 122 종합운동장역(2호선),서울특별시 송파구 올림픽로 지하23(잠실동)
강남구,삼성(무역센터),2호선,,Subway,37.508861,127.063149,서울특별시 강남구 삼성동 172-66 삼성역(2호선),서울특별시 강남구 테헤란로 지하538(삼성동)
강남구,선릉,2호선,,Subway,37.508861,127.063149,서울특별시 강남구 삼성동 172-66 선릉역(2호선),서울특별시 강남구 테헤란로 지하340(삼성동)
강남구,역삼,2호선,,Subway,37.5003324,127.0362649,서울특별시 강남구 역삼동 804 역삼역(2호선),서울특별시 강남구 테헤란로 지하156(역삼동)
강남구,강남,2호선,,Subway,37.5000776,127.0385419,서울특별시 강남구 역삼동 858 강남역(2호선),서울특별시 강남구 강남대로 지하396(역삼동)
서초구,"교대(법원, 검찰청)",2호선,,Subway,37.4910405,127.004581,서울특별시 서초구 서초동 1748-4 교대역(2호선),서울특별시 서초구 서초대로 지하294(서초동)
서초구,서초,2호선,,Subway,37.4910405,127.004581,서울특별시 서초구 서초동 1748-5 서초역(2호선),서울특별시 서초구 서초대로 지하233(서초동)
